Title,Abstract,Summary,Strategic decision,AI intelligence,Operation
Collaborative Intelligence: Humans and AI Are Joining Forces,"Artificial intelligence is transforming all sectors of the economy, but there’s no reason to fear that robots will replace all human employees. In fact, companies that automate their operations mainly to cut their workforces will see only short-term productivity gains, say the authors. Their research, involving 1,500 firms in a range of industries, shows that the biggest performance improvements come when humans and smart machines work together, enhancing each other’s strengths.",Train conversational AI to have brand personality,Marketing action,Feeling AI,Relationalization
Understanding the Role of Artificial Intelligence in Personalized Engagement Marketing,"This article explores the role of artificial intelligence (AI) in aiding personalized engagement marketing—an approach to create, communicate, and deliver personalized offerings to customers. It proposes that consumers are ready for a new journey in which AI is a tool for endless options and information that are narrowed and curated in a personalized way. It also provides predictions for managers regarding the AI-driven environment on branding and customer management practices in both developed and developing countries.",AI personalizes engagement marketing,Marketing action,Feeling AI,Relationalization
Substituting Information for Interaction: A Framework for Personalization in Service Encounters and Service Systems,"We compare person-to-person service encounters with those in which the service provider is an information system to identify the capabilities needed to personalize a service encounter. We suggest “substituting information for interaction” as a principle that unifies these different types of encounters whenever the information needed to create value in a service system accumulates incrementally through human or automated customer interactions. We review research and practice in computer science, artificial intelligence, data mining, machine learning, and information systems design to bring an interdisciplinary robustness to our conceptual proposal. Human service providers and automated service systems both need (1) a service model manager that stores information about how a customer requests a service; (2) a customer model manager that stores information about customers and preferences; (3) a recommendation system manager that uses service models, customer models, and contextual information to adapt the service at delivery time; (4) a learning system that analyzes previous service encounters to refine service and customer models, and a (5) service monitoring system that monitors the status of service delivery. The substitution concepts and mechanisms we propose highlight the range of design choices and help managers evaluate whether a human interaction or information exchange creates or undermines value in a service system.",Service interactions can be personalized by “substituting information for interaction” ,Marketing action,Feeling AI,Relationalization
Engaged to a Robot? The Role of AI in Service,"This article develops a strategic framework for using artificial intelligence (AI) to engage customers for different service benefits. This framework lays out guidelines of how to use different AIs to engage customers based on considerations of nature of service task, service offering, service strategy, and service process. AI develops from mechanical, to thinking, and to feeling. As AI advances to a higher intelligence level, more human service employees and human intelligence (HI) at the intelligence levels lower than that level should be used less. Thus, at the current level of AI development, mechanical service should be performed mostly by mechanical AI, thinking service by both thinking AI and HI, and feeling service mostly by HI. Mechanical AI should be used for standardization when service is routine and transactional, for cost leadership, and mostly at the service delivery stage. Thinking AI should be used for personalization when service is data-rich and utilitarian, for quality leadership, and mostly at the service creation stage. Feeling AI should be used for relationalization when service is relational and high touch, for relationship leadership, and mostly at the service interaction stage. We illustrate various AI applications for the three major AI benefits, providing managerial guidelines for service providers to leverage the advantages of AI as well as future research implications for service researchers to investigate AI in service from modeling, consumer, and policy perspectives.",AI intelligences can be used to engage customers in the service journey,Marketing action,Feeling AI,Relationalization
Real-Time Brand Reputation Tracking Using Social Media,"How can we know what stakeholders think and feel about brands in real time and over time? Most brand reputation measures are at the aggregate level (e.g., the Interbrand “Best Global Brands” list) or rely on customer brand perception surveys on a periodical basis (e.g., the Y&R Brand Asset Valuator). To answer this question, brand reputation measures must capture the voice of the stakeholders (not just ratings on brand attributes), reflect important brand events in real time, and connect to a brand’s financial value to the firm. This article develops a new social media–based brand reputation tracker by mining Twitter comments for the world’s top 100 brands using Rust–Zeithaml–Lemon’s value–brand–relationship framework, on a weekly, monthly, and quarterly basis. The article demonstrates that brand reputation can be monitored in real time and longitudinally, managed by leveraging the reciprocal and virtuous relationships between the drivers, and connected to firm financial performance. The resulting measures are housed in an online longitudinal database and may be accessed by brand reputation researchers.",Track brand reputation through sentiment analyses social media content ,Marketing action,Feeling AI,Relationalization
Engaged to a Robot? The Role of AI in Service,"This article develops a strategic framework for using artificial intelligence (AI) to engage customers for different service benefits. This framework lays out guidelines of how to use different AIs to engage customers based on considerations of nature of service task, service offering, service strategy, and service process. AI develops from mechanical, to thinking, and to feeling. As AI advances to a higher intelligence level, more human service employees and human intelligence (HI) at the intelligence levels lower than that level should be used less. Thus, at the current level of AI development, mechanical service should be performed mostly by mechanical AI, thinking service by both thinking AI and HI, and feeling service mostly by HI. Mechanical AI should be used for standardization when service is routine and transactional, for cost leadership, and mostly at the service delivery stage. Thinking AI should be used for personalization when service is data-rich and utilitarian, for quality leadership, and mostly at the service creation stage. Feeling AI should be used for relationalization when service is relational and high touch, for relationship leadership, and mostly at the service interaction stage. We illustrate various AI applications for the three major AI benefits, providing managerial guidelines for service providers to leverage the advantages of AI as well as future research implications for service researchers to investigate AI in service from modeling, consumer, and policy perspectives.",Customers perceive AI chatbots to be to belessempathetic,Marketing action,Feeling AI,Relationalization
Likeability and its effect on outcomes of interpersonal interaction,"Interpersonal interactions between boundary spanning individuals have a fundamental role in how interorganizational interactions develop. This study examines interpersonal interaction and the effects of likeability on two attributes that are central to many organizations: commodity prices as negotiation outcomes and a partner's willingness to engage in collaboration. Specifically, we aim to answer: how does interpersonal likeability impact negotiation outcomes in terms of commodity prices and how does it affect a partner's willingness to engage in collaboration? Based on social exchange theory we draw hypotheses that are tested using data gathered from experiments with 220 participants. The findings indicate that likeability significantly influences a partner's willingness to engage in collaboration but does not significantly influence negotiation profits. The implications of these findings for research and practice are discussed.",Interpersonal likeability would impact the price negotiation outcome in a B2B relationship,Marketing action,Feeling AI,Relationalization
Brave new world: service robots in the frontline,"The service sector is at an inflection point with regard to productivity gains and service industrialization similar to the industrial revolution in manufacturing that started in the eighteenth century. Robotics in combination with rapidly improving technologies like artificial intelligence (AI), mobile, cloud, big data and biometrics will bring opportunities for a wide range of innovations that have the potential to dramatically change service industries. The purpose of this paper is to explore the potential role service robots will play in the future and to advance a research agenda for service researchers.",Service robots surface acting,Marketing action,Feeling AI,Relationalization
Resistance to Medical Artificial Intelligence,"Artificial intelligence (AI) is revolutionizing healthcare, but little is known about consumer receptivity to AI in medicine. Consumers are reluctant to utilize healthcare provided by AI in real and hypothetical choices, separate and joint evaluations. Consumers are less likely to utilize healthcare (study 1), exhibit lower reservation prices for healthcare (study 2), are less sensitive to differences in provider performance (studies 3A–3C), and derive negative utility if a provider is automated rather than human (study 4). Uniqueness neglect, a concern that AI providers are less able than human providers to account for consumers’ unique characteristics and circumstances, drives consumer resistance to medical AI. Indeed, resistance to medical AI is stronger for consumers who perceive themselves to be more unique (study 5). Uniqueness neglect mediates resistance to medical AI (study 6), and is eliminated when AI provides care (a) that is framed as personalized (study 7), (b) to consumers other than the self (study 8), or (c) that only supports, rather than replaces, a decision made by a human healthcare provider (study 9). These findings make contributions to the psychology of automation and medical decision making, and suggest interventions to increase consumer acceptance of AI in medicine.",Consumers resistance to medical AI,Marketing action,Feeling AI,Relationalization
One-Voice Strategy for Customer Engagement,"Machine-age technologies, including automation, robotics, and artificial intelligence, are profoundly expanding the variety of service interfaces and therefore the possible ways that customers and firms can interact across customer journeys. This expansion challenges service firms’ capabilities to deliver coherent streams of interactions for effective customer engagement. This article develops a conceptual framework of firm capabilities that enable firms to operate with “one voice” to deliver seamless, harmonious, and reliable interactions across diverse interfaces in a customer journey. The proposed framework integrates three themes: (1) service interaction space to capture the interrelationship among devices, interfaces, interactions, and journeys; (2) learning and coordination as core capabilities for generating and using intelligence, respectively, to enhance customer engagement in subsequent interactions; and (3) one-voice strategy to configure learning and coordination capabilities in combinations that meet conditions of fitness and equifinality for effective customer engagement. We provide several research questions and priorities to guide research and practice.",One-voice strategy for customer engagement across diverse interfaces enabled by machine-age technologies in a customer journey,Marketing action,Feeling AI,Relationalization
Advertising Content and Consumer Engagement on Social Media: Evidence from Facebook,"We describe the effect of social media advertising content on customer engagement using data from Facebook. We content-code 106,316 Facebook messages across 782 companies, using a combination of Amazon Mechanical Turk and natural language processing algorithms. We use this data set to study the association of various kinds of social media marketing content with user engagement—defined as Likes, comments, shares, and click-throughs—with the messages. We find that inclusion of widely used content related to brand personality—like humor and emotion—is associated with higher levels of consumer engagement (Likes, comments, shares) with a message. We find that directly informative content—like mentions of price and deals—is associated with lower levels of engagement when included in messages in isolation, but higher engagement levels when provided in combination with brand personality–related attributes. Also, certain directly informative content, such as deals and promotions, drive consumers’ path to conversion (click-throughs). These results persist after incorporating corrections for the nonrandom targeting of Facebook’s EdgeRank (News Feed) algorithm and so reflect more closely user reaction to content than Facebook’s behavioral targeting. Our results suggest that there are benefits to content engineering that combines informative characteristics that help in obtaining immediate leads (via improved click-throughs) with brand personality–related content that helps in maintaining future reach and branding on the social media site (via improved engagement). These results inform content design strategies. Separately, the methodology we apply to content-code text is useful for future studies utilizing unstructured data such as advertising content or product reviews.",NLP analyzes social media ad content enhances consumer engagement,Marketing action,Feeling AI,Relationalization
Frontiers: Machines vs. Humans: The Impact of Artificial Intelligence Chatbot Disclosure on Customer Purchases,"Empowered by artificial intelligence (AI), chatbots are surging as new technologies with both business potential and customer pushback. This study exploits field experiment data on more than 6,200 customers who are randomized to receive highly structured outbound sales calls from chatbots or human workers. Results suggest that undisclosed chatbots are as effective as proficient workers and four times more effective than inexperienced workers in engendering customer purchases. However, a disclosure of chatbot identity before the machine–customer conversation reduces purchase rates by more than 79.7%. Additional analyses find that these results are robust to nonresponse bias and hang-ups, and the chatbot disclosure substantially decreases call length. Exploration of the mechanisms reveals that when customers know the conversational partner is not a human, they are curt and purchase less because they perceive the disclosed bot as less knowledgeable and less empathetic. The negative disclosure effect seems to be driven by a subjective human perception against machines, despite the objective competence of AI chatbots. Fortunately, such negative impact can be mitigated by a late disclosure timing strategy and customer prior AI experience. These findings offer useful implications for chatbot applications, customer targeting, and advertising in conversational commerce.",AI chatbots for outbound sales calls,Marketing action,Feeling AI,Relationalization
Advertising Content and Consumer Engagement on Social Media: Evidence from Facebook,"We describe the effect of social media advertising content on customer engagement using data from Facebook. We content-code 106,316 Facebook messages across 782 companies, using a combination of Amazon Mechanical Turk and natural language processing algorithms. We use this data set to study the association of various kinds of social media marketing content with user engagement—defined as Likes, comments, shares, and click-throughs—with the messages. We find that inclusion of widely used content related to brand personality—like humor and emotion—is associated with higher levels of consumer engagement (Likes, comments, shares) with a message. We find that directly informative content—like mentions of price and deals—is associated with lower levels of engagement when included in messages in isolation, but higher engagement levels when provided in combination with brand personality–related attributes. Also, certain directly informative content, such as deals and promotions, drive consumers’ path to conversion (click-throughs). These results persist after incorporating corrections for the nonrandom targeting of Facebook’s EdgeRank (News Feed) algorithm and so reflect more closely user reaction to content than Facebook’s behavioral targeting. Our results suggest that there are benefits to content engineering that combines informative characteristics that help in obtaining immediate leads (via improved click-throughs) with brand personality–related content that helps in maintaining future reach and branding on the social media site (via improved engagement). These results inform content design strategies. Separately, the methodology we apply to content-code text is useful for future studies utilizing unstructured data such as advertising content or product reviews.",NLP algorithms analyze Facebook messages to examine the association between social media content and user engagement,Marketing action,Feeling AI,Relationalization
Why Am I Seeing This Ad? The Effect of Ad Transparency on Ad Effectiveness,"Given the increasingly specific ways marketers can target ads, consumers and regulators are demanding ad transparency: disclosure of how consumers’ personal information was used to generate ads. We investigate how and why ad transparency impacts ad effectiveness. Drawing on literature about offline norms of information sharing, we posit that ad transparency backfires when it exposes marketing practices that violate norms about “information flows”—consumers’ beliefs about how their information should move between parties. Study 1 inductively shows that consumers deem information flows acceptable (or not) based on whether their personal information was: 1) obtained within versus outside of the website on which the ad appears, and 2) stated by the consumer versus inferred by the firm (the latter of each pair being less acceptable). Studies 2 and 3 show that revealing unacceptable information flows reduces ad effectiveness, which is driven by increasing consumers’ relative concern for their privacy over desire for the personalization that such targeting affords. Study 4 shows the moderating role of platform trust: when consumers trust a platform, revealing acceptable information flows increases ad effectiveness. Studies 5a and 5b, conducted in the field with a loyalty program website (i.e., a trusted platform), demonstrate this benefit of transparency.",Personalized ad backfires if privacy concern is heightened,Marketing action,Feeling AI,Relationalization
Unstructured data in marketing,"The rise of unstructured data (UD), propelled by novel technologies, is reshaping markets and the management of marketing activities. Yet these increased data remain mostly untapped by many firms, suggesting the potential for further research developments. The integrative framework proposed in this study addresses the nature of UD and pursues theoretical richness and computational advancements by integrating insights from other disciplines. This article makes three main contributions to the literature by (1) offering a unifying definition and conceptualization of UD in marketing; (2) bridging disjoint literature with an organizing framework that synthesizes various subsets of UD relevant for marketing management through an integrative review; and (3) identifying substantive, computational, and theoretical gaps in extant literature and ways to leverage interdisciplinary knowledge to advance marketing research by applying UD analyses to underdeveloped areas.",Unstructured data for marketing insights,Marketing research,Mechanical AI, Data collection
When Words Sweat: Identifying Signals for Loan Default in the Text of Loan Applications,"The authors present empirical evidence that borrowers, consciously or not, leave traces of their intentions, circumstances, and personality traits in the text they write when applying for a loan. This textual information has a substantial and significant ability to predict whether borrowers will pay back the loan above and beyond the financial and demographic variables commonly used in models predicting default. The authors use text-mining and machine learning tools to automatically process and analyze the raw text in over 120,000 loan requests from Prosper, an online crowdfunding platform. Including in the predictive model the textual information in the loan significantly helps predict loan default and can have substantial financial implications. The authors find that loan requests written by defaulting borrowers are more likely to include words related to their family, mentions of God, the borrower’s financial and general hardship, pleading lenders for help, and short-term-focused words. The authors further observe that defaulting loan requests are written in a manner consistent with the writing styles of extroverts and liars.",Text-mining and ML automatically categorize loan borrowers,Marketing strategy,Mechanical AI,Segmentation
Improving Cancer Outreach Effectiveness Through Targeting and Economic Assessments: Insights from a Randomized Field Experiment,"Patients at risk for hepatocellular carcinoma or liver cancer should undergo semiannual screening tests to facilitate early detection, effective treatment options at lower cost, better recovery prognosis, and higher life expectancy. Health care institutions invest in direct-to-patient outreach marketing to encourage regular screening. They ask the following questions: (1) Does the effectiveness of outreach vary among patients and over time?; (2) What is the return on outreach?; and (3) Can patient-level targeted outreach increase the return? The authors use a multiperiod, randomized field experiment involving 1,800 patients. Overall, relative to the usual-care condition, outreach alone (outreach with patient navigation) increases screening completion rates by 10–20 (13–24) percentage points. Causal forests demonstrate that patient-level treatment effects vary substantially across periods and by patients’ demographics, health status, visit history, health system accessibility, and neighborhood socioeconomic status, thereby facilitating the implementation of the targeted outreach program. A simulation shows that the targeted outreach program improves the return on the randomized outreach program by 74%–96% or $1.6 million to $2 million. Thus, outreach marketing provides a substantial positive payoff to the health care system.",Conjoint analysis with sparse learning for consumer preferences in multiple segments,Marketing strategy,Mechanical AI,Segmentation
"New approaches to psychographic consumer segmentation: Exploring fine art collectors using artificial intelligence, automated text analysis and correspondence analysis","While the motivation for collecting art has received considerable attention in the literature, less is known about the characteristics of the typical art collector. This paper aims to explore these characteristics to develop a typology of art consumers using a mixed method approach over several studies. The study’s findings reveal four distinct clusters of art collectors based on their “Big Five” personality traits, as well as uncovering insights into how these types talk about their possessions.",Automated text analysis and correspondence analysis for psychographic consumer segmentation in the art market,Marketing strategy,Mechanical AI,Segmentation
Using ontology-based clustering to understand the push and pull factors for British tourists visiting a Mediterranean coastal destination,"This paper studies why British tourists decide to travel to a particular destination in a Catalan region. The analysis is based on a survey that includes open-ended questions. First, we propose the operationalization of the concepts of motivation and meaning as push–pull factors when choosing a destination. Second, an ontology-based clustering method is presented, which makes it possible to analyse these qualitative factors from a semantic perspective to obtain tourist segments. A benchmark confirms that the segmentation obtained is better than that generated using classic clustering methods The results show that different meanings can be associated with any single place.",Data mining for tourist segments  based on the meaning of destinations to consumers,Marketing strategy,Mechanical AI,Segmentation
Retailing and retailing research in the age of big data analytics,"As a research domain, the retail sector has always had many appealing features, such as its size, its multi-faceted and dynamic nature, the possibility for researchers to exploit their own domain knowledge, and an extensive coverage by business analysts. In addition, the above-average availability of good-quality data has historically been an additional selling point to empirical researchers. The paper considers to what extent the latter still holds, and explores a number of additional opportunities and challenges that emerge from the ongoing big data revolution. This is done from five perspectives: retail managers, retailing researchers, public-policy makers, investors, and retailing educators.",Retail big data for micro segment customers,Marketing strategy,Mechanical AI,Segmentation
Man Versus Machine: Resisting Automation in Identity-Based Consumer Behavior,"Automation is transforming many consumption domains, including everyday activities such as cooking or driving, as well as recreational activities like fishing or cycling. Yet little research in marketing examines consumer preferences for automated products. Automation often provides obvious consumption benefits, but six studies spanning a variety of product categories show that automation may not be desirable when identity motives are important drivers of consumption. Using both correlational and experimental designs, these studies demonstrate that people who strongly identify with a particular social category resist automated features that hinder the attribution of identity-relevant consumption outcomes to themselves. The findings have substantial theoretical implications for research on identity and technology, as well as managerial implications for targeting, product innovation, and communication.",Consumers may not prefer automated products that are related to their identity,Marketing action,Mechanical AI,Standardization
Online Product Reviews-Triggered Dynamic Pricing: Theory and Evidence,"Prior works offer compelling evidence that, on the demand side of the market, user-generated online product reviews play a very important role in informing consumers’ purchase decisions. On the supply side, however, the interplay between online product reviews and firm strategies is less understood. We build an analytical model that differentiates products based on consumers’ preference for tastes (horizontal differentiation) or quality (vertical differentiation) and show that a firm is able to not only manipulate its pricing to influence online product reviews (thus influencing sales) but also, adjust pricing dynamically in response to online word of mouth. Our model derives rich and testable results on possible price trajectories. To offer empirical support for the analytical predictions, we conduct a panel data study of prices and reviews. We adopt a difference-in-differences framework to address endogeneity challenges.",Consumers’ online WOM can be used to automate price changes based on ML tools,Marketing action,Mechanical AI,Standardization
Artificial Intelligence in Service,"Artificial intelligence (AI) is increasingly reshaping service by performing various tasks, constituting a major source of innovation, yet threatening human jobs. We develop a theory of AI job replacement to address this double-edged impact. The theory specifies four intelligences required for service tasks—mechanical, analytical, intuitive, and empathetic—and lays out the way firms should decide between humans and machines for accomplishing those tasks. AI is developing in a predictable order, with mechanical mostly preceding analytical, analytical mostly preceding intuitive, and intuitive mostly preceding empathetic intelligence. The theory asserts that AI job replacement occurs fundamentally at the task level, rather than the job level, and for “lower” (easier for AI) intelligence tasks first. AI first replaces some of a service job’s tasks, a transition stage seen as augmentation, and then progresses to replace human labor entirely when it has the ability to take over all of a job’s tasks. The progression of AI task replacement from lower to higher intelligences results in predictable shifts over time in the relative importance of the intelligences for service employees. An important implication from our theory is that analytical skills will become less important, as AI takes over more analytical tasks, giving the “softer” intuitive and empathetic skills even more importance for service employees. Eventually, AI will be capable of performing even the intuitive and empathetic tasks, which enables innovative ways of human–machine integration for providing service but also results in a fundamental threat for human employment.",Mechanical AI automates service process,Marketing action,Mechanical AI,Standardization
The Evolution and Future of Retailing and Retailing Education,"The pace of retail evolution has increased dramatically, with the spread of the Internet and as consumers have become more empowered by mobile phones and smart devices. This article outlines significant retail innovations that reveal how retailers and retailing have evolved in the past several decades. In the same spirit, the authors discuss how the topics covered in retail education have shifted. This article further details the roles of current technologies, including social media and retailing analytics, and emerging areas, such as the Internet of things, machine learning, artificial intelligence, blockchain technology, and robotics, all of which are likely to change the retail landscape in the future. Educators thus should incorporate these technologies into their classroom discussions through various means, from experiential exercises to interactive discussions to the reviews of recent articles.",IoT optimizes retail processes,Marketing action,Mechanical AI,Standardization
Brave new world: service robots in the frontline,"The service sector is at an inflection point with regard to productivity gains and service industrialization similar to the industrial revolution in manufacturing that started in the eighteenth century. Robotics in combination with rapidly improving technologies like artificial intelligence (AI), mobile, cloud, big data and biometrics will bring opportunities for a wide range of innovations that have the potential to dramatically change service industries. The purpose of this paper is to explore the potential role service robots will play in the future and to advance a research agenda for service researchers.",Service robots interact with scale and consistency,Marketing action,Mechanical AI,Standardization
Service Robots Rising: How Humanoid Robots Influence Service Experiences and Elicit Compensatory Consumer Responses,"Interactions between consumers and humanoid service robots (HSRs; i.e., robots with a human-like morphology such as a face, arms, and legs) will soon be part of routine marketplace experiences. It is unclear, however, whether these humanoid robots (compared with human employees) will trigger positive or negative consequences for consumers and companies. Seven experimental studies reveal that consumers display compensatory responses when they interact with an HSR rather than a human employee (e.g., they favor purchasing status goods, seek social affiliation, and order and eat more food). The authors investigate the underlying process driving these effects, and they find that HSRs elicit greater consumer discomfort (i.e., eeriness and a threat to human identity), which in turn results in the enhancement of compensatory consumption. Moreover, this research identifies boundary conditions of the effects such that the compensatory responses that HSRs elicit are (1) mitigated when consumer-perceived social belongingness is high, (2) attenuated when food is perceived as more healthful, and (3) buffered when the robot is machinized (rather than anthropomorphized).",Service robots automate social presence in frontline,Marketing action,Mechanical AI,Standardization
